"ID","Naam","Type","Plaats","Adres","Website","PlaceID","Lat","Lng","Rating","Reviews"
"949","Kinderboerderij De Naturij","onderweg","Drachten","Oude Slingeweg 4, Drachten","True","True","53,0934","6,07149","True","True"
"950","Kinderboerderij De Olievaar","onderweg","Uithoorn","Johan Enschedeweg 600, Uithoorn","True","True","52,243393","4,838977","True","True"
"951","Kinderboerderij de Oude Hofstede","onderweg","Ede","Bovenbuurtweg 35, Ede","True","True","52,016183","5,663588","True","True"
"952","Kinderboerderij De Pijp","onderweg","Amsterdam","Lizzy Ansinghstraat 82, Amsterdam","True","True","52,349305","4,892896","True","True"
"953","Kinderboerderij De Ridder","onderweg","Purmerend","Leeghwaterpark 4, Purmerend","True","True","52,502671","4,970701","True","True"
"954","Kinderboerderij De Uilenburg","onderweg","Hilvarenbeek","Uilenburg 6, Hilvarenbeek","True","True","51,492029","5,141254","True","True"
"955","Kinderboerderij De Uylenburg","onderweg","Amsterdam","Staalmeesterslaan 420, Amsterdam","True","True","52,367473","4,845066","True","True"
"956","Kinderboerderij De Vechtse HoeveðŸª¿","onderweg","Maarssen","Van Lingelaan 1A, Maarssen","True","True","52,138857","5,04904","True","True"
"957","Kinderboerderij De VliertðŸª¿","onderweg","Wijk bij Duurstede","Droogoven 1, Wijk bij Duurstede","True","True","51,978544","5,33169","True","True"
"958","Kinderboerderij De Voskuilerhoeve","onderweg","Wezep","Honingweg 16a, Wezep","True","True","52,466589","6,013197","True","True"
"959","Kinderboerderij De Weidemolen","onderweg","Zoetermeer","Burgemeester Middelberglaan 2, Zoetermeer","True","True","52,060021","4,552859","True","True"
"960","Kinderboerderij De Werf","onderweg","Amsterdam","Archimedeslaan 59, Amsterdam","True","True","52,353918","4,945172","True","True"
"961","Kinderboerderij De Woid","onderweg","Hoorn","Koperslager 9A, Hoorn","True","True","52,653065","5,045676","True","True"
"962","Kinderboerderij De Zandberg","onderweg","Breda","Marijke Meustraat 1, Breda","True","True","51,573963","4,778928","True","True"
"963","Kinderboerderij Den Uylpark","onderweg","Almere","Bezoekadres: Heerenveenpad 43 Parkeerplaats:, Amsterdamweg 1, Almere","True","True","52,370817","5,207148","True","True"
"964","Kinderboerderij Dierenvreugd","onderweg","Nieuw-Vennep","Zuiderdreef 1, Nieuw-Vennep","True","True","52,258084","4,630348","True","True"
"965","Kinderboerderij Dierenweide Varsselder-Veldhunten","onderweg","Varsselder","Achter de Molen, Varsselder","True","True","51,888962","6,357024","True","True"
"966","Kinderboerderij DonderbergðŸª¿","onderweg","Roermond","Bachstraat 62, Roermond","False","True","51,1814","6,009911","True","True"
"967","Kinderboerderij Eigen Erf","onderweg","Rijssen","Albertsdijk 20, Rijssen","True","True","52,310891","6,530777","True","True"
"968","Kinderboerderij Ekenstein","onderweg","Appingedam","Alberdaweg, Appingedam","False","True","53,318504","6,808554","True","True"
"969","Kinderboerderij Emmelerbos / Werk & Begeleiding Philadelphia Zorg","onderweg","Emmeloord","Banterweg 2C, Emmeloord","True","True","52,721333","5,756886","True","True"
"970","Kinderboerderij en hertenkamp Weert","onderweg","Weert","Geurtsvenweg 6, Weert","True","True","51,239395","5,666145","True","True"
"971","Kinderboerderij en Restaurant Hagerhof","onderweg","Venlo","Hagerlei 1, Venlo","True","True","51,354227","6,163319","True","True"
"972","Kinderboerderij en Waterspeeltuin Tanthof","onderweg","Delft","Bezoekersingang; langs restaurant Farmhouse, Kalfjeslaan 135, Delft","True","True","51,986775","4,354209","True","True"
"973","Kinderboerderij Engbergen","onderweg","Gendringen","Ulftseweg 4b, Gendringen","True","True","51,874507","6,386041","True","True"
"974","Kinderboerderij Ermelo","onderweg","Ermelo","Enckerkamp, Ermelo","True","True","52,316357","5,603548","True","True"
"975","Kinderboerderij FloreffehoeveðŸª¿","onderweg","Werkendam","Voorstevliet 29, Werkendam","True","True","51,809073","4,901179","True","True"
"976","Kinderboerderij Freriks","onderweg","Winterswijk","Frerikshof 15, Winterswijk","False","True","51,980877","6,709624","True","True"
"977","Kinderboerderij Groot Scholtenhagen","onderweg","Haaksbergen","Scholtenhagenweg 23, Haaksbergen","True","True","52,148486","6,72941","True","True"
"978","Kinderboerderij Heijderbos","onderweg","Heijen","Het Heijderbos, Heijen","True","True","51,67347","5,998308","True","True"
"979","Kinderboerderij Het Beestenspul","onderweg","Den Haag","Tivolistraat, Den Haag","True","True","52,079755","4,298287","True","True"
"980","Kinderboerderij Het Gegraaf","onderweg","Valkenswaard","Valkenswaard","True","True","51,360707","5,441381","True","True"
"981","Kinderboerderij het Kukelnest (Aveleijn)","onderweg","Goor","Lintelerweg 4, Goor","True","True","52,238663","6,597724","True","True"
"982","Kinderboerderij Het Sloterpark","onderweg","Amsterdam","President Allendelaan 2, Amsterdam","True","True","52,37169","4,815116","True","True"
"983","Kinderboerderij Het Viaduct","onderweg","Ter Apel","Havenstraat 99, Ter Apel","True","True","52,880229","7,054713","True","True"
"984","Kinderboerderij Hoek van Holland","onderweg","Hoek van Holland","Willem van Houtenstraat 71, Hoek van Holland","True","True","51,974227","4,13441","True","True"
"985","Kinderboerderij Horsterpark","onderweg","Duiven","Horsterparklaan 2, Duiven","True","True","51,949382","5,994468","True","True"
"986","Kinderboerderij Houtkamp","onderweg","Leiderdorp","Leiderdorp","False","True","52,15732","4,531838","True","True"
"987","Kinderboerderij IJsselstee in het Natuurkwartier","onderweg","Nieuwegein","Geinoord 9-12, Nieuwegein","True","True","52,020964","5,082789","True","True"
"988","Kinderboerderij Jeugddorp De Glind","onderweg","De Glind","Rudolphlaan 6, De Glind","True","True","52,120022","5,507312","True","True"
"989","Kinderboerderij Jong Leven","onderweg","Sint Pancras","Janspad 2, Sint Pancras","True","True","52,655207","4,785894","True","True"
"990","Kinderboerderij Kasteel OostðŸª¿","onderweg","Valkenburg","Valkenburg","False","True","50,861471","5,840367","True","True"
"991","Kinderboerderij KobusðŸª¿","onderweg","Nijmegen","Floraweg 51, Nijmegen","True","True","51,837308","5,842876","True","True"
"992","Kinderboerderij Koekendaal","onderweg","Doetinchem","Koekendaalseweg 7, Doetinchem","True","True","51,951219","6,32254","True","True"
"993","Kinderboerderij Kokiezier","onderweg","Doetinchem","Belderstraat 30, Doetinchem","True","True","51,966206","6,245013","True","True"
"994","Kinderboerderij Laag Buurlo","onderweg","Apeldoorn","Homerusstraat 8, Apeldoorn","True","True","52,222593","6,003056","True","True"
"995","Kinderboerderij Landal de Elsgraven","onderweg","Enter","Restaurant De Elsgraven, Eversdijk 6A, Enter","False","True","52,310493","6,565904","True","True"
"996","Kinderboerderij Landerij de Park","onderweg","Elst","De Park 12, Elst","False","True","51,938076","5,841868","True","True"
"997","Kinderboerderij Leeuwarden","onderweg","Leeuwarden","Jeugdweg 3, Leeuwarden","True","True","53,212167","5,79396","True","True"
"998","Kinderboerderij Leijhoeve","onderweg","Rijsbergen","Amanduspad, Rijsbergen","True","True","51,519535","4,685882","True","True"
"999","Kinderboerderij Maatjeshonk","onderweg","Bedum","Bedum","True","True","53,302985","6,608077","True","True"
"1000","Kinderboerderij Merenwijk","onderweg","Leiden","Parkzicht 100, Leiden","True","True","52,177968","4,509398","True","True"
"1001","Kinderboerderij Middelharnis","onderweg","Middelharnis","Westerschelde 12, Middelharnis","True","True","51,762155","4,172675","True","True"
"1002","Kinderboerderij Nieuw Rotsoord","onderweg","Utrecht","Briljantlaan 101, Utrecht","True","True","52,074486","5,121951","True","True"
"1003","Kinderboerderij Nieuw-Beijerland","onderweg","Nieuw-Beijerland","'s-Gravenweg 27, Nieuw-Beijerland","True","True","51,812907","4,342955","True","True"
"1004","Kinderboerderij Nijverdal","onderweg","Nijverdal","Derde Kampsweg 51, Nijverdal","True","True","52,361992","6,492457","True","True"
"1005","Kinderboerderij Ommen","onderweg","Ommen","Het Laar 2c, Ommen","True","True","52,515336","6,414617","True","True"
"1006","Kinderboerderij Resort Arcen","onderweg","Arcen","Dorperheideweg 12, Arcen","False","True","51,480934","6,213644","True","True"
"1007","Kinderboerderij Roden","onderweg","Roden","Norgerweg 2, Roden","True","True","53,13142","6,432229","True","True"
"1008","Kinderboerderij RosorumðŸª¿","onderweg","Zevenaar","Methen 2b, Zevenaar","True","True","51,936963","6,060095","True","True"
"1009","Kinderboerderij Saksenhoeve","onderweg","Sassenheim","Passage 20A, Sassenheim","True","True","52,225641","4,524719","True","True"
"1010","Kinderboerderij SamenzÃ³o","onderweg","Staphorst","Admiraal W.G. van Nesstraat 8a, Staphorst","True","True","52,650126","6,201931","True","True"
"1011","Kinderboerderij Stadspark","onderweg","Groningen","Stadspark 3, Groningen","True","True","53,206066","6,547324","True","True"
"1012","Kinderboerderij Terneuzen","onderweg","Terneuzen","Evertsenlaan 88, Terneuzen","True","True","51,325129","3,852692","True","True"
"1013","Kinderboerderij Texel","onderweg","Den Burg","Paelwerck 9, Den Burg","True","True","53,061291","4,802292","True","True"
"1014","Kinderboerderij UdenðŸª¿","onderweg","Uden","Artillerieweg 3, Uden","True","True","51,672281","5,624051","True","True"
"1015","Kinderboerderij Veendam","onderweg","Veendam","Woldlaan 5, Veendam","True","True","53,096955","6,846515","True","True"
"1016","Kinderboerderij Wentholtpark","onderweg","Lichtenvoorde","Wentholtstraat 4, Lichtenvoorde","True","True","51,9817","6,574131","True","True"
"1017","Kinderboerderij Westerweide","onderweg","Rijnsburg","Spinozalaan 40, Rijnsburg","True","True","52,191156","4,435114","True","True"
"1018","Kinderboerderij Wezenlanden","onderweg","Zwolle","Almelose Kanaal 33, Zwolle","True","True","52,505823","6,113702","True","True"
"1019","Kinderboerderij Wijkvereniging Emmermeer","onderweg","Emmen","Emmen","True","True","52,797588","6,893689","True","True"
"1020","Kinderboerderij Wilhelminapark","onderweg","Best","Pr. Beatrixlaan 3, Best","True","True","51,498109","5,390624","True","True"
"1021","Kinderboerderij Zegersloot","onderweg","Alphen aan den Rijn","Burgemeester Bruins Slotsingel 11, Alphen aan den Rijn","True","True","52,141243","4,689166","True","True"
"1022","kinderboerderij zorgboerderij Oosterhoeve","onderweg","'s-Hertogenbosch","IJsselsingel 1, 's-Hertogenbosch","True","True","51,687514","5,335519","True","True"
"1023","Kinderboerderij, Didam","onderweg","Didam","Polstraat 2A, Didam","True","True","51,941326","6,132164","True","True"
"1024","Kinderboerderijdelariks.nl","onderweg","Assen","Laak 1a, Assen","True","True","52,999625","6,542697","True","True"
"1025","Kinderspeelboerderij 't Hofke","onderweg","Bentelo","Suetersweg 17, Bentelo","True","True","52,223929","6,699952","True","True"
"1026","Lierhout kinderboerderij","onderweg","De Lier","Diepenburg 3, De Lier","False","True","51,979191","4,245809","True","True"
"1027","Mobiele Kinderboerderij Donkey Pronkie","onderweg","Ingen","Provincialeweg 45, Ingen","True","True","51,954622","5,478202","True","True"
"1028","Natuurspeeltuin De Weijver","onderweg","Hoogwoud","Kerkepad 6, Hoogwoud","False","True","52,71136","4,940917","True","True"
"1029","Natuurspeeltuin Het Diereneiland","onderweg","Amsterdam","Molenwijk 11, Amsterdam","True","True","52,416248","4,887786","True","True"
"1030","Parkeerplaats 1 - Speelboerderij Dondertman","onderweg","Holten","Meester Bosweg 1-5, Holten","True","True","52,302567","6,390074","True","True"
"1031","Recreatie & Kinderboerderij Feltsigt","onderweg","Hengelo","Bekveldseweg 5, Hengelo","True","True","52,044048","6,282262","True","True"
"1032","Speel- & Beleefboerderij ""De Roosendaal""","onderweg","Putten","Beulekampersteeg 31, Putten","True","True","52,22616","5,5714","True","True"
"1033","Speelboerderij â€˜n Veldhook - camping de Rammelbeek","onderweg","Lattrop-Breklenkamp","Frensdorferweg 45, Lattrop-Breklenkamp","True","True","52,420405","6,991235","True","True"
"1034","Speelboerderij Binky (Kinderparadijs Malkenschoten)","onderweg","Apeldoorn","Dubbelbeek 4, Apeldoorn","True","True","52,183753","5,96367","True","True"
"1035","Speelboerderij De HappyFarm","onderweg","Terschuur","Dronkelaarseweg 28, Terschuur","True","True","52,158603","5,542557","True","True"
